annee,habitants_total_18plus,pourcentage_etrangers_estime[%],pourcentage_suisses_estime[%],habitants_suisses_18plus_estimes
1860,1616222,4.6000,95.4000,1541876
1861,1625430,4.7100,95.2900,1548872
1862,1633856,4.8200,95.1800,1555104
1863,1641589,4.9300,95.0700,1560659
1864,1648633,5.0400,94.9600,1565542
1865,1655135,5.1500,94.8500,1569896
1866,1661202,5.2600,94.7400,1573823
1867,1667291,5.3700,94.6300,1577757
1868,1673518,5.4800,94.5200,1581809
1869,1680416,5.5900,94.4100,1586481
1870,1688106,5.7000,94.3000,1591884
1871,1691064,5.8700,94.1300,1591799
1872,1694307,6.0400,93.9600,1591971
1873,1697980,6.2100,93.7900,1592535
1874,1703449,6.3800,93.6200,1594769
1875,1710320,6.5500,93.4500,1598294
1876,1718653,6.7200,93.2800,1603160
1877,1728403,6.8900,93.1100,1609316
1878,1739276,7.0600,92.9400,1616483
1879,1751596,7.2300,92.7700,1624956
1880,1765444,7.4000,92.6000,1634801
1881,1772956,7.4625,92.5375,1640649
1882,1778543,7.5250,92.4750,1644708
1883,1784609,7.5875,92.4125,1649202
1884,1790219,7.6500,92.3500,1653267
1885,1794418,7.7125,92.2875,1656024
1886,1798839,7.7750,92.2250,1658979
1887,1803953,7.8375,92.1625,1662568
1888,1808961,7.9000,92.1000,1666053
1889,1826841,8.2083,91.7917,1676888
1890,1843800,8.5167,91.4833,1686770
1891,1864800,8.8250,91.1750,1700231
1892,1887784,9.1333,90.8667,1715366
1893,1911105,9.4417,90.5583,1730665
1894,1936934,9.7500,90.2500,1748083
1895,1963020,10.0583,89.9417,1765573
1896,1989770,10.3667,89.6333,1783497
1897,2016686,10.6750,89.3250,1801405
1898,2040988,10.9833,89.0167,1816819
1899,2071461,11.2917,88.7083,1837559
1900,2096676,11.6000,88.4000,1853462
1901,2121892,11.9100,88.0900,1869175
1902,2147538,12.2200,87.7800,1885109
1903,2170282,12.5300,87.4700,1898346
1904,2195662,12.8400,87.1600,1913739
1905,2219462,13.1500,86.8500,1927603
1906,2245528,13.4600,86.5400,1943280
1907,2271018,13.7700,86.2300,1958299
1908,2294717,14.0800,85.9200,1971621
1909,2326822,14.3900,85.6100,1991992
1910,2361174,14.7000,85.3000,2014081
1911,2382775,14.2700,85.7300,2042753
1912,2404246,13.8400,86.1600,2071498
1913,2423697,13.4100,86.5900,2098679
1914,2444700,12.9800,87.0200,2127378
1915,2467337,12.5500,87.4500,2157686
1916,2490300,12.1200,87.8800,2188476
1917,2511926,11.6900,88.3100,2218282
1918,2514307,11.2600,88.7400,2231196
1919,2539301,10.8300,89.1700,2264295
1920,2563793,10.4000,89.6000,2297159
1921,2594611,10.2300,89.7700,2329182
1922,2623285,10.0600,89.9400,2359383
1923,2654147,9.8900,90.1100,2391652
1924,2684191,9.7200,90.2800,2423288
1925,2714036,9.5500,90.4500,2454846
1926,2746037,9.3800,90.6200,2488459
1927,2773173,9.2100,90.7900,2517764
1928,2800462,9.0400,90.9600,2547300
1929,2826120,8.8700,91.1300,2575443
1930,2855703,8.7000,91.3000,2607257
1931,2888842,8.3818,91.6182,2646705
1932,2917377,8.0636,91.9364,2682130
1933,2941908,7.7455,92.2545,2714044
1934,2966394,7.4273,92.5727,2746072
1935,2986448,7.1091,92.8909,2774139
1936,3009239,6.7909,93.2091,2804884
1937,3031875,6.4727,93.5273,2835630
1938,3060426,6.1545,93.8455,2872071
1939,3090547,5.8364,94.1636,2910171
1940,3117151,5.5182,94.4818,2945141
1941,3146216,5.2000,94.8000,2982613
1942,3166863,5.3000,94.7000,2999019
1943,3187178,5.4000,94.6000,3015070
1944,3203146,5.5000,94.5000,3026973
1945,3219089,5.6000,94.4000,3038820
1946,3256833,5.7000,94.3000,3071194
1947,3293529,5.8000,94.2000,3102504
1948,3335621,5.9000,94.1000,3138819
1949,3373953,6.0000,94.0000,3171516
1950,3407175,6.1000,93.9000,3199337
1951,3448289,6.5700,93.4300,3221736
1952,3492092,7.0400,92.9600,3246249
1953,3532907,7.5100,92.4900,3267586
1954,3571531,7.9800,92.0200,3286523
1955,3607432,8.4500,91.5500,3302604
1956,3644419,8.9200,91.0800,3319337
1957,3682543,9.3900,90.6100,3336752
1958,3721792,9.8600,90.1400,3354823
1959,3765917,10.3300,89.6700,3376898
1960,3823721,10.8000,89.2000,3410759
1961,3907780,11.4400,88.5600,3460730
1962,3990846,12.0800,87.9200,3508752
1963,4069021,12.7200,87.2800,3551442
1964,4134787,13.3600,86.6400,3582379
1965,4179880,14.0000,86.0000,3594697
1966,4237368,14.6400,85.3600,3617017
1967,4305991,15.2800,84.7200,3648036
1968,4372958,15.9200,84.0800,3676783
1969,4437371,16.5600,83.4400,3702542
1970,4453545,17.2000,82.8000,3687535
1971,4489807,16.9600,83.0400,3728336
1972,4543291,16.7200,83.2800,3783653
1973,4590098,16.4800,83.5200,3833650
1974,4634837,16.2400,83.7600,3882139
1975,4635572,16.0000,84.0000,3893880
1976,4636498,15.7600,84.2400,3905786
1977,4659544,15.5200,84.4800,3936383
1978,4692072,15.2800,84.7200,3975123
1979,4735413,15.0400,84.9600,4023207
1980,4788817,14.8000,85.2000,4080072
1981,4851427,15.1300,84.8700,4117406
1982,4916695,15.4600,84.5400,4156574
1983,4964536,15.7900,84.2100,4180636
1984,5018205,16.1200,83.8800,4209270
1985,5069466,16.4500,83.5500,4235539
1986,5124184,16.7800,83.2200,4264346
1987,5178701,17.1100,82.8900,4292625
1988,5234322,17.4400,82.5600,4321456
1989,5288727,17.7700,82.2300,4348920
1990,5350973,18.1000,81.9000,4382447
1991,5427759,18.3400,81.6600,4432308
1992,5469797,18.5800,81.4200,4453509
1993,5510550,18.8200,81.1800,4473464
1994,5546063,19.0600,80.9400,4488983
1995,5575405,19.3000,80.7000,4499352
1996,5587489,19.5400,80.4600,4495694
1997,5601686,19.7800,80.2200,4493673
1998,5629646,20.0200,79.9800,4502591
1999,5667203,20.2600,79.7400,4519028
2000,5707411,20.5000,79.5000,4537392
2001,5780296,20.6900,79.3100,4584353
2002,5839404,20.8800,79.1200,4620136
2003,5892822,21.0700,78.9300,4651204
2004,5947746,21.2600,78.7400,4683255
2005,5997894,21.4500,78.5500,4711346
2006,6055538,21.6400,78.3600,4745120
2007,6143378,21.8300,78.1700,4802279
2008,6250712,22.0200,77.9800,4874305
2009,6336785,22.2100,77.7900,4929385
2010,6416153,22.4000,77.6000,4978935
2011,6497511,22.8400,77.1600,5013479
2012,6577492,23.2800,76.7200,5046252
2013,6667327,23.7200,76.2800,5085837
2014,6755656,24.1600,75.8400,5123490
2015,6833218,24.6000,75.4000,5152246
2016,6909664,24.6000,75.4000,5209887
2017,6963149,24.6000,75.4000,5250214
2018,7014296,24.6000,75.4000,5288779
2019,7063672,24.6000,75.4000,5326009
2020,7114731,24.6000,75.4000,5364507
2021,7166168,24.6000,75.4000,5403291
2022,7232157,24.6000,75.4000,5453046
2023,7352405,24.6000,75.4000,5543713
2024,7435313,24.6000,75.4000,5606226
2025,7482621,24.6000,75.4000,5641896
2026,7549709,24.6000,75.4000,5692481
2027,7616879,24.6000,75.4000,5743127
2028,7684712,24.6000,75.4000,5794273
2029,7750779,24.6000,75.4000,5844087
2030,7817106,24.6000,75.4000,5894098
2031,7881766,24.6000,75.4000,5942852
2032,7945119,24.6000,75.4000,5990620
2033,8005552,24.6000,75.4000,6036186
2034,8063413,24.6000,75.4000,6079813
2035,8116627,24.6000,75.4000,6119937
2036,8168132,24.6000,75.4000,6158772
2037,8215949,24.6000,75.4000,6194826
2038,8261385,24.6000,75.4000,6229084
2039,8308169,24.6000,75.4000,6264359
2040,8345966,24.6000,75.4000,6292858
2041,8379938,24.6000,75.4000,6318473
2042,8417522,24.6000,75.4000,6346812
2043,8454042,24.6000,75.4000,6374348
2044,8489388,24.6000,75.4000,6400999
2045,8523542,24.6000,75.4000,6426751
2046,8556353,24.6000,75.4000,6451490
2047,8587752,24.6000,75.4000,6475165
2048,8617715,24.6000,75.4000,6497757
2049,8646291,24.6000,75.4000,6519303
2050,8673458,24.6000,75.4000,6539787
2051,8699312,24.6000,75.4000,6559281
2052,8723948,24.6000,75.4000,6577857
2053,8747603,24.6000,75.4000,6595693
2054,8770302,24.6000,75.4000,6612808
2055,8792287,24.6000,75.4000,6629384
